trial , timeA , frameA , yA , zA , xA , yA-yt1 , zA-zt1 , xA-xt1 , yA-yt2 , zA-zt2 , xA-xt2 , hitA_t1 , hitA_t2 , hitA_final , trial , timeB , frameB , yB , zB , xB , yB-yt1 , zB-zt1 , xB-xt1 , yB-yt2 , zB-zt2 , xB-xt2 , hitB_t1 , hitB_t2 , hitB_final
  1.00000,   0.13041,  32.00000,   5.13848,  10.88903,   0.61416,  18.74098,  10.35101,   5.13834,  18.78339,  10.29619,   7.29360,   0.00000,   0.00000,   0.00000,   1.00000,   0.13041,  32.00000,   4.09203, -10.75910,   0.62229,  18.90198,   9.37482,   4.84814,  19.36094,   9.53970,   7.13050,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.13451,  33.00000,   5.13847,  10.88901,   0.61421,  18.74099,  10.35099,   5.13838,  18.78340,  10.29617,   7.29355,   0.00000,   0.00000,   0.00000,   1.00000,   0.13451,  33.00000,   4.09229, -10.75920,   0.62190,  18.90172,   9.37492,   4.84775,  19.36068,   9.53980,   7.13089,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.13877,  34.00000,   5.13850,  10.88897,   0.61416,  18.74096,  10.35095,   5.13833,  18.78337,  10.29613,   7.29360,   0.00000,   0.00000,   0.00000,   1.00000,   0.13877,  34.00000,   4.09223, -10.75952,   0.62171,  18.90178,   9.37523,   4.84756,  19.36074,   9.54012,   7.13108,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.14290,  35.00000,   5.13845,  10.88895,   0.61424,  18.74101,  10.35093,   5.13841,  18.78342,  10.29612,   7.29352,   0.00000,   0.00000,   0.00000,   1.00000,   0.14290,  35.00000,   4.09234, -10.75971,   0.62164,  18.90167,   9.37543,   4.84749,  19.36063,   9.54032,   7.13115,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.14704,  36.00000,   5.13839,  10.88896,   0.61429,  18.74106,  10.35094,   5.13846,  18.78348,  10.29612,   7.29348,   0.00000,   0.00000,   0.00000,   1.00000,   0.14704,  36.00000,   4.09265, -10.75987,   0.62140,  18.90136,   9.37559,   4.84725,  19.36032,   9.54048,   7.13139,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.15129,  37.00000,   5.13835,  10.88893,   0.61445,  18.74111,  10.35091,   5.13863,  18.78352,  10.29610,   7.29331,   0.00000,   0.00000,   0.00000,   1.00000,   0.15129,  37.00000,   4.09298, -10.75996,   0.62150,  18.90103,   9.37568,   4.84735,  19.35999,   9.54056,   7.13129,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.15539,  38.00000,   5.13837,  10.88889,   0.61474,  18.74109,  10.35087,   5.13891,  18.78350,  10.29605,   7.29303,   0.00000,   0.00000,   0.00000,   1.00000,   0.15539,  38.00000,   4.09286, -10.76025,   0.62127,  18.90115,   9.37596,   4.84712,  19.36010,   9.54085,   7.13152,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.15965,  39.00000,   5.13832,  10.88886,   0.61490,  18.74113,  10.35084,   5.13908,  18.78355,  10.29603,   7.29286,   0.00000,   0.00000,   0.00000,   1.00000,   0.15965,  39.00000,   4.09296, -10.76045,   0.62126,  18.90105,   9.37616,   4.84711,  19.36001,   9.54105,   7.13153,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.16379,  40.00000,   5.13838,  10.88877,   0.61526,  18.74108,  10.35075,   5.13944,  18.78349,  10.29594,   7.29250,   0.00000,   0.00000,   0.00000,   1.00000,   0.16379,  40.00000,   4.09303, -10.76067,   0.62102,  18.90098,   9.37638,   4.84687,  19.35994,   9.54127,   7.13177,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.16792,  41.00000,   5.13840,  10.88881,   0.61519,  18.74106,  10.35079,   5.13937,  18.78347,  10.29597,   7.29257,   0.00000,   0.00000,   0.00000,   1.00000,   0.16792,  41.00000,   4.09312, -10.76084,   0.62111,  18.90090,   9.37655,   4.84696,  19.35985,   9.54144,   7.13168,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.17202,  42.00000,   5.13832,  10.88883,   0.61549,  18.74113,  10.35081,   5.13966,  18.78355,  10.29600,   7.29227,   0.00000,   0.00000,   0.00000,   1.00000,   0.17202,  42.00000,   4.09317, -10.76101,   0.62104,  18.90085,   9.37673,   4.84688,  19.35980,   9.54161,   7.13176,   0.00000,   0.00000,   0.00000, 
