vidName, trial , direction , samp , waittime , trialTime , frameShow , xB , yB , zB , XdistB_t1, YdistB_t1, ZdistB_t1, XdistB_t2 , YdistB_t2, ZdistB_t2, hitB_t1 , hitB_t2, yaw, pitch, roll, expTime, launchind_a, hitind_a, aHit, accuracy
right_trial1_StartToStartPt_5_6_block3.mat ,121.00000 ,  2.00000 ,118.00000 ,  1.75999 ,  4.49557 ,  1.00000 ,  0.53421 , 10.50968 ,-27.32902 ,-60.55012 , 24.51666 , 29.98876 ,-60.23620 , -2.79674 , 29.40135 ,  0.00000 ,  0.00000 , 93.53193 ,-19.70218 , 92.80672 , 54.80609 , 32.00000 , 45.00000 ,  0.00000 ,  1.00000 ,
right_trial1_StartToStartPt_5_6_block3.mat ,121.00000 ,  2.00000 ,118.00000 ,  1.75999 ,  4.49981 ,  1.00000 ,  0.53349 , 10.51022 ,-27.32981 ,-60.55084 , 24.51720 , 29.98956 ,-60.23692 , -2.79621 , 29.40215 ,  0.00000 ,  0.00000 , 93.50402 ,-19.69727 , 92.79301 , 54.81033 , 32.00000 , 45.00000 ,  0.00000 ,  1.00000 ,
right_trial1_StartToStartPt_5_6_block3.mat ,121.00000 ,  2.00000 ,118.00000 ,  1.75999 ,  4.50394 ,  1.00000 ,  0.53244 , 10.51021 ,-27.33065 ,-60.55189 , 24.51719 , 29.99039 ,-60.23797 , -2.79622 , 29.40298 ,  0.00000 ,  0.00000 , 93.48633 ,-19.69767 , 92.77337 , 54.81446 , 32.00000 , 45.00000 ,  0.00000 ,  1.00000 ,
right_trial1_StartToStartPt_5_6_block3.mat ,121.00000 ,  2.00000 ,118.00000 ,  1.75999 ,  4.50815 ,  1.00000 ,  0.53194 , 10.51067 ,-27.33057 ,-60.55239 , 24.51765 , 29.99031 ,-60.23846 , -2.79576 , 29.40290 ,  0.00000 ,  0.00000 , 93.47255 ,-19.69681 , 92.75758 , 54.81867 , 32.00000 , 45.00000 ,  0.00000 ,  1.00000 ,
right_trial1_StartToStartPt_5_6_block3.mat ,121.00000 ,  2.00000 ,118.00000 ,  1.75999 ,  4.51232 ,  1.00000 ,  0.53099 , 10.51140 ,-27.32965 ,-60.55335 , 24.51838 , 29.98939 ,-60.23942 , -2.79503 , 29.40198 ,  0.00000 ,  0.00000 , 93.45556 ,-19.69511 , 92.75160 , 54.82284 , 32.00000 , 45.00000 ,  0.00000 ,  1.00000 ,
right_trial1_StartToStartPt_5_6_block3.mat ,121.00000 ,  2.00000 ,118.00000 ,  1.75999 ,  4.51644 ,  1.00000 ,  0.53031 , 10.51145 ,-27.32876 ,-60.55402 , 24.51843 , 29.98850 ,-60.24010 , -2.79498 , 29.40109 ,  0.00000 ,  0.00000 , 93.42041 ,-19.68871 , 92.75813 , 54.82696 , 32.00000 , 45.00000 ,  0.00000 ,  1.00000 ,
right_trial1_StartToStartPt_5_6_block3.mat ,121.00000 ,  2.00000 ,118.00000 ,  1.75999 ,  4.52057 ,  1.00000 ,  0.52966 , 10.51249 ,-27.32761 ,-60.55467 , 24.51947 , 29.98735 ,-60.24075 , -2.79394 , 29.39994 ,  0.00000 ,  0.00000 , 93.37032 ,-19.67702 , 92.77452 , 54.83109 , 32.00000 , 45.00000 ,  0.00000 ,  1.00000 ,
right_trial1_StartToStartPt_5_6_block3.mat ,121.00000 ,  2.00000 ,118.00000 ,  1.75999 ,  4.52481 ,  1.00000 ,  0.52837 , 10.51254 ,-27.32752 ,-60.55597 , 24.51952 , 29.98726 ,-60.24204 , -2.79389 , 29.39985 ,  0.00000 ,  0.00000 , 93.29859 ,-19.66954 , 92.79740 , 54.83533 , 32.00000 , 45.00000 ,  0.00000 ,  1.00000 ,
right_trial1_StartToStartPt_5_6_block3.mat ,121.00000 ,  2.00000 ,118.00000 ,  1.75999 ,  4.52893 ,  1.00000 ,  0.52778 , 10.51206 ,-27.32785 ,-60.55655 , 24.51904 , 29.98759 ,-60.24263 , -2.79437 , 29.40018 ,  0.00000 ,  0.00000 , 93.21951 ,-19.66096 , 92.82131 , 54.83945 , 32.00000 , 45.00000 ,  0.00000 ,  1.00000 ,
right_trial1_StartToStartPt_5_6_block3.mat ,121.00000 ,  2.00000 ,118.00000 ,  1.75999 ,  4.53307 ,  1.00000 ,  0.52730 , 10.51275 ,-27.32829 ,-60.55703 , 24.51973 , 29.98803 ,-60.24311 , -2.79367 , 29.40062 ,  0.00000 ,  0.00000 , 93.14001 ,-19.64845 , 92.86359 , 54.84358 , 32.00000 , 45.00000 ,  0.00000 ,  1.00000 ,
