vidName, trial , direction , samp , waittime , trialTime , frameShow , xB , yB , zB , XdistB_t1, YdistB_t1, ZdistB_t1, XdistB_t2 , YdistB_t2, ZdistB_t2, hitB_t1 , hitB_t2, yaw, pitch, roll, expTime, launchind_a, hitind_a, aHit, accuracy
right_trial22_StartToStartPt_1_2_block3.mat , 41.00000 ,  2.00000 ,162.00000 ,  1.57473 ,  4.69734 ,  6.00000 ,  1.52861 , 10.63807 ,-27.31358 ,-59.55572 , 24.64506 , 29.97333 ,-59.24180 , -2.66835 , 29.38592 ,  0.00000 ,  0.00000 , 87.65612 ,-21.61413 ,111.92052 , 43.88040 , 35.00000 , 51.00000 ,  0.00000 ,  1.00000 ,
right_trial22_StartToStartPt_1_2_block3.mat , 41.00000 ,  2.00000 ,162.00000 ,  1.57473 ,  4.70146 ,  6.00000 ,  1.52589 , 10.63847 ,-27.31235 ,-59.55844 , 24.64545 , 29.97209 ,-59.24452 , -2.66796 , 29.38468 ,  0.00000 ,  0.00000 , 87.66140 ,-21.58855 ,112.03385 , 43.88452 , 35.00000 , 51.00000 ,  0.00000 ,  1.00000 ,
right_trial22_StartToStartPt_1_2_block3.mat , 41.00000 ,  2.00000 ,162.00000 ,  1.57473 ,  4.70560 ,  7.00000 ,  1.52286 , 10.64024 ,-27.31056 ,-59.56147 , 24.64722 , 29.97030 ,-59.24754 , -2.66619 , 29.38289 ,  0.00000 ,  0.00000 , 87.66969 ,-21.56587 ,112.14805 , 43.88867 , 35.00000 , 51.00000 ,  0.00000 ,  1.00000 ,
right_trial22_StartToStartPt_1_2_block3.mat , 41.00000 ,  2.00000 ,162.00000 ,  1.57473 ,  4.70984 ,  7.00000 ,  1.52093 , 10.64037 ,-27.30922 ,-59.56340 , 24.64736 , 29.96896 ,-59.24948 , -2.66605 , 29.38155 ,  0.00000 ,  0.00000 , 87.67242 ,-21.54230 ,112.25336 , 43.89291 , 35.00000 , 51.00000 ,  0.00000 ,  1.00000 ,
right_trial22_StartToStartPt_1_2_block3.mat , 41.00000 ,  2.00000 ,162.00000 ,  1.57473 ,  4.71397 ,  7.00000 ,  1.51760 , 10.64031 ,-27.30842 ,-59.56673 , 24.64729 , 29.96816 ,-59.25280 , -2.66612 , 29.38075 ,  0.00000 ,  0.00000 , 87.66940 ,-21.52814 ,112.34761 , 43.89703 , 35.00000 , 51.00000 ,  0.00000 ,  1.00000 ,
right_trial22_StartToStartPt_1_2_block3.mat , 41.00000 ,  2.00000 ,162.00000 ,  1.57473 ,  4.71810 ,  7.00000 ,  1.51515 , 10.64068 ,-27.30746 ,-59.56918 , 24.64766 , 29.96720 ,-59.25526 , -2.66575 , 29.37980 ,  0.00000 ,  0.00000 , 87.66741 ,-21.51343 ,112.42852 , 43.90116 , 35.00000 , 51.00000 ,  0.00000 ,  1.00000 ,
right_trial22_StartToStartPt_1_2_block3.mat , 41.00000 ,  2.00000 ,162.00000 ,  1.57473 ,  4.72235 ,  8.00000 ,  1.51366 , 10.64082 ,-27.30658 ,-59.57067 , 24.64781 , 29.96632 ,-59.25674 , -2.66560 , 29.37891 ,  0.00000 ,  0.00000 , 87.66470 ,-21.50148 ,112.49566 , 43.90541 , 35.00000 , 51.00000 ,  0.00000 ,  1.00000 ,
right_trial22_StartToStartPt_1_2_block3.mat , 41.00000 ,  2.00000 ,162.00000 ,  1.57473 ,  4.72646 ,  8.00000 ,  1.51312 , 10.64195 ,-27.30547 ,-59.57121 , 24.64893 , 29.96521 ,-59.25728 , -2.66448 , 29.37780 ,  0.00000 ,  0.00000 , 87.66403 ,-21.48828 ,112.55997 , 43.90952 , 35.00000 , 51.00000 ,  0.00000 ,  1.00000 ,
right_trial22_StartToStartPt_1_2_block3.mat , 41.00000 ,  2.00000 ,162.00000 ,  1.57473 ,  4.73058 ,  8.00000 ,  1.51113 , 10.64217 ,-27.30489 ,-59.57320 , 24.64915 , 29.96463 ,-59.25928 , -2.66426 , 29.37722 ,  0.00000 ,  0.00000 , 87.66215 ,-21.48199 ,112.62112 , 43.91364 , 35.00000 , 51.00000 ,  0.00000 ,  1.00000 ,
right_trial22_StartToStartPt_1_2_block3.mat , 41.00000 ,  2.00000 ,162.00000 ,  1.57473 ,  4.73483 ,  8.00000 ,  1.51091 , 10.64185 ,-27.30449 ,-59.57342 , 24.64883 , 29.96424 ,-59.25950 , -2.66458 , 29.37683 ,  0.00000 ,  0.00000 , 87.66032 ,-21.46896 ,112.68006 , 43.91789 , 35.00000 , 51.00000 ,  0.00000 ,  1.00000 ,
