trial , timeA , frameA , yA , zA , xA , yA-yt1 , zA-zt1 , xA-xt1 , yA-yt2 , zA-zt2 , xA-xt2 , hitA_t1 , hitA_t2 , hitA_final , trial , timeB , frameB , yB , zB , xB , yB-yt1 , zB-zt1 , xB-xt1 , yB-yt2 , zB-zt2 , xB-xt2 , hitB_t1 , hitB_t2 , hitB_final,waitTime,instructedTarget
  1.00000,   0.21860, 295.00000,   4.56697,   9.98712,  -0.62953,  18.88043,  10.11957,   4.70544,  18.62685,   9.99469,   5.82364,   0.00000,   0.00000,   0.00000,   1.00000,   0.21860, 295.00000,   3.84282, -10.85504,  -0.10072,  19.66692,   9.40421,   4.57050,  18.93349,   9.53316,   5.13238,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.22273, 296.00000,   4.56698,   9.98760,  -0.62949,  18.88043,  10.12005,   4.70548,  18.62685,   9.99517,   5.82359,   0.00000,   0.00000,   0.00000,   1.00000,   0.22273, 296.00000,   3.84277, -10.85506,  -0.10077,  19.66698,   9.40423,   4.57044,  18.93354,   9.53318,   5.13244,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.22697, 297.00000,   4.56719,   9.98798,  -0.62940,  18.88022,  10.12042,   4.70557,  18.62664,   9.99554,   5.82350,   0.00000,   0.00000,   0.00000,   1.00000,   0.22697, 297.00000,   3.84278, -10.85506,  -0.10087,  19.66696,   9.40423,   4.57035,  18.93353,   9.53318,   5.13253,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.23108, 298.00000,   4.56710,   9.98845,  -0.62941,  18.88031,  10.12090,   4.70556,  18.62673,   9.99602,   5.82351,   0.00000,   0.00000,   0.00000,   1.00000,   0.23108, 298.00000,   3.84287, -10.85501,  -0.10088,  19.66687,   9.40418,   4.57034,  18.93344,   9.53313,   5.13254,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.23522, 299.00000,   4.56714,   9.98887,  -0.62916,  18.88027,  10.12132,   4.70582,  18.62669,   9.99644,   5.82326,   0.00000,   0.00000,   0.00000,   1.00000,   0.23522, 299.00000,   3.84290, -10.85497,  -0.10089,  19.66684,   9.40414,   4.57033,  18.93341,   9.53308,   5.13255,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.23947, 300.00000,   4.56694,   9.98932,  -0.62903,  18.88047,  10.12176,   4.70594,  18.62689,   9.99688,   5.82313,   0.00000,   0.00000,   0.00000,   1.00000,   0.23947, 300.00000,   3.84288, -10.85496,  -0.10103,  19.66687,   9.40413,   4.57019,  18.93343,   9.53308,   5.13270,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.24359, 301.00000,   4.56703,   9.98960,  -0.62899,  18.88037,  10.12205,   4.70599,  18.62680,   9.99717,   5.82309,   0.00000,   0.00000,   0.00000,   1.00000,   0.24359, 301.00000,   3.84296, -10.85490,  -0.10106,  19.66678,   9.40407,   4.57016,  18.93335,   9.53301,   5.13272,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.24774, 302.00000,   4.56705,   9.98991,  -0.62877,  18.88035,  10.12235,   4.70620,  18.62677,   9.99747,   5.82287,   0.00000,   0.00000,   0.00000,   1.00000,   0.24774, 302.00000,   3.84299, -10.85486,  -0.10105,  19.66675,   9.40402,   4.57017,  18.93332,   9.53297,   5.13271,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.25198, 303.00000,   4.56713,   9.99016,  -0.62866,  18.88028,  10.12261,   4.70631,  18.62670,   9.99773,   5.82276,   0.00000,   0.00000,   0.00000,   1.00000,   0.25198, 303.00000,   3.84293, -10.85482,  -0.10104,  19.66682,   9.40399,   4.57018,  18.93338,   9.53294,   5.13270,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.25608, 304.00000,   4.56735,   9.99031,  -0.62849,  18.88006,  10.12276,   4.70648,  18.62648,   9.99788,   5.82259,   0.00000,   0.00000,   0.00000,   1.00000,   0.25608, 304.00000,   3.84286, -10.85478,  -0.10123,  19.66688,   9.40395,   4.56999,  18.93345,   9.53290,   5.13289,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
