trial , timeA , yA , zA , xA , yoA , piA , roA , yA-yt1 , zA-zt1 , xA-xt1 , yA-yt2 , zA-zt2 , xA-xt2 , hitA_t1 , hitA_t2 , hitA_final , trial , timeB , yB , zB , xB , yoB , piB , roB , yB-yt1 , zB-zt1 , xB-xt1 , yB-yt2 , zB-zt2 , xB-xt2 , hitB_t1 , hitB_t2 , hitB_final,expTime,waitTime,instructedTarget,Endtrialtime,absTime
  1.00000,   0.15690,  11.05491,  25.36927,  -2.09511, -87.03345,  23.72831, -93.54011,  49.27172,  24.06934,  11.86245,  50.06130,  23.99332,  15.38329,   0.00000,   0.00000,   0.00000,   1.00000,   0.15690,  10.73888, -29.07277,  -0.01140,  94.31653, -15.43440, 104.24624,  48.83244,  26.45274,  13.80376,  48.74809,  26.82912,  13.40179,   0.00000,   0.00000,   0.00000,  29.55646,   2.98288,   1.00000,  30.48400, 
  1.00000,   0.16099,  11.05507,  25.36904,  -2.09459, -87.02795,  23.72942, -93.53430,  49.27155,  24.06910,  11.86296,  50.06114,  23.99308,  15.38278,   0.00000,   0.00000,   0.00000,   1.00000,   0.16099,  10.73934, -29.07272,  -0.01104,  94.31722, -15.43480, 104.24267,  48.83198,  26.45269,  13.80411,  48.74764,  26.82906,  13.40144,   0.00000,   0.00000,   0.00000,  29.56054,   2.98288,   1.00000,  30.48400, 
  1.00000,   0.16528,  11.05486,  25.36902,  -2.09430, -87.02361,  23.73112, -93.53092,  49.27176,  24.06908,  11.86325,  50.06135,  23.99307,  15.38249,   0.00000,   0.00000,   0.00000,   1.00000,   0.16528,  10.73916, -29.07250,  -0.01149,  94.31571, -15.43612, 104.24219,  48.83216,  26.45247,  13.80367,  48.74781,  26.82884,  13.40188,   0.00000,   0.00000,   0.00000,  29.56483,   2.98288,   1.00000,  30.48400, 
  1.00000,   0.16940,  11.05491,  25.36882,  -2.09430, -87.01974,  23.73148, -93.52693,  49.27171,  24.06889,  11.86326,  50.06129,  23.99287,  15.38248,   0.00000,   0.00000,   0.00000,   1.00000,   0.16940,  10.73972, -29.07224,  -0.01078,  94.31671, -15.43521, 104.23811,  48.83160,  26.45221,  13.80438,  48.74725,  26.82859,  13.40117,   0.00000,   0.00000,   0.00000,  29.56896,   2.98288,   1.00000,  30.48400, 
  1.00000,   0.17353,  11.05465,  25.36891,  -2.09371, -87.01568,  23.73564, -93.52913,  49.27197,  24.06897,  11.86385,  50.06155,  23.99296,  15.38189,   0.00000,   0.00000,   0.00000,   1.00000,   0.17353,  10.73900, -29.07237,  -0.01069,  94.31219, -15.43562, 104.23740,  48.83232,  26.45234,  13.80447,  48.74797,  26.82872,  13.40108,   0.00000,   0.00000,   0.00000,  29.57308,   2.98288,   1.00000,  30.48400, 
  1.00000,   0.17778,  11.05522,  25.36858,  -2.09440, -87.01624,  23.73327, -93.53426,  49.27140,  24.06865,  11.86316,  50.06099,  23.99263,  15.38258,   0.00000,   0.00000,   0.00000,   1.00000,   0.17778,  10.73897, -29.07231,  -0.01067,  94.31197, -15.43693, 104.23540,  48.83235,  26.45228,  13.80449,  48.74800,  26.82866,  13.40106,   0.00000,   0.00000,   0.00000,  29.57733,   2.98288,   1.00000,  30.48400, 
  1.00000,   0.18191,  11.05527,  25.36852,  -2.09426, -87.01568,  23.73448, -93.53773,  49.27135,  24.06858,  11.86330,  50.06093,  23.99257,  15.38244,   0.00000,   0.00000,   0.00000,   1.00000,   0.18191,  10.73882, -29.07211,  -0.01056,  94.31239, -15.43827, 104.23808,  48.83250,  26.45208,  13.80460,  48.74815,  26.82845,  13.40095,   0.00000,   0.00000,   0.00000,  29.58146,   2.98288,   1.00000,  30.48400, 
  1.00000,   0.18599,  11.05493,  25.36868,  -2.09391, -87.01575,  23.73782, -93.54282,  49.27169,  24.06874,  11.86365,  50.06127,  23.99273,  15.38209,   0.00000,   0.00000,   0.00000,   1.00000,   0.18599,  10.73932, -29.07189,  -0.01049,  94.31405, -15.43937, 104.24121,  48.83200,  26.45186,  13.80467,  48.74765,  26.82823,  13.40088,   0.00000,   0.00000,   0.00000,  29.58555,   2.98288,   1.00000,  30.48400, 
  1.00000,   0.19028,  11.05472,  25.36866,  -2.09404, -87.01745,  23.73901, -93.55062,  49.27190,  24.06873,  11.86351,  50.06148,  23.99271,  15.38223,   0.00000,   0.00000,   0.00000,   1.00000,   0.19028,  10.73890, -29.07191,  -0.01073,  94.31266, -15.43948, 104.24599,  48.83242,  26.45188,  13.80443,  48.74807,  26.82825,  13.40112,   0.00000,   0.00000,   0.00000,  29.58983,   2.98288,   1.00000,  30.48400, 
  1.00000,   0.19441,  11.05511,  25.36852,  -2.09397, -87.02251,  23.74079, -93.55956,  49.27151,  24.06858,  11.86358,  50.06110,  23.99257,  15.38215,   0.00000,   0.00000,   0.00000,   1.00000,   0.19441,  10.73906, -29.07154,  -0.01082,  94.31551, -15.43947, 104.25084,  48.83226,  26.45151,  13.80434,  48.74791,  26.82788,  13.40121,   0.00000,   0.00000,   0.00000,  29.59396,   2.98288,   1.00000,  30.48400, 
